url,price_per_month,m2,price_m2,bedrooms,bathrooms,encoded_neighborhood
https://www.habitaclia.com/alquiler-piso-tres_dormitorios_cerca_de_les_glories_fort_pienc-barcelona-i5020004000413.htm?pag=4&f=&geo=p&from=list&lo=55,1375,70,19.64,3,1,23
https://www.habitaclia.com/alquiler-piso-de_2_hab_en_la_pl_reial_gotic-barcelona-i39012000001471.htm?pag=4&f=&geo=p&from=list&lo=55,1550,90,17.22,2,2,42
https://www.habitaclia.com/alquiler-piso-reformado_barri_de_les_corts-barcelona-i17052000000225.htm?pag=4&f=&geo=p&from=list&lo=55,1500,90,16.67,1,1,47
https://www.habitaclia.com/alquiler-duplex-de_luxe_a_l_av_diagonal_balmes_sant_gervasi_galvany-barcelona-i10125004018426.htm?pag=4&f=&geo=p&from=list&lo=55,3750,130,28.85,3,2,49
https://www.habitaclia.com/alquiler-estudio-gotic-barcelona-i21202000000429.htm?pag=4&f=&geo=p&from=list&lo=55,1500,41,36.59,1,1,42
https://www.habitaclia.com/alquiler-piso-dreta_de_l_eixample-barcelona-i17052000000212.htm?pag=4&f=&geo=p&from=list&lo=55,2800,100,28.0,2,2,48
https://www.habitaclia.com/alquiler-piso-a_estrenar_calle_de_sardenya_498_baix_guinardo-barcelona-i46516000000006.htm?pag=4&f=&geo=p&from=list&lo=55,1600,78,20.51,2,2,15
https://www.habitaclia.com/alquiler-apartamento-con_4_habitaciones_amueblado_con_ascensor_calefacci_dreta_de_l_eixample-barcelona-i30785000002010.htm?pag=4&f=&geo=p&from=list&lo=55,3700,170,21.76,4,2,48
https://www.habitaclia.com/alquiler-piso-la_sagrera-barcelona-i14201000000278.htm?pag=4&f=&geo=p&from=list&lo=55,1450,125,11.6,3,2,12
https://www.habitaclia.com/alquiler-piso-suelos_hidraulicos_y_techos_altos_en_el_mercat_de_sant_antoni_sant_antoni-barcelona-i5020004000300.htm?pag=4&f=&geo=p&from=list&lo=55,1950,104,18.75,4,2,33
https://www.habitaclia.com/alquiler-piso-precioso_en_en_sant_pere_santa_caterina_la_ribera_st_pere_sta_caterina_el_born-barcelona-i14760003330308.htm?pag=4&f=&geo=p&from=list&lo=55,1120,53,21.13,1,1,46
https://www.habitaclia.com/alquiler-atico-barri_de_les_corts-barcelona-i30853000000488.htm?pag=4&f=&geo=p&from=list&lo=55,2400,147,16.33,2,1,47
https://www.habitaclia.com/alquiler-piso-sant_ramon_maternitat-barcelona-i17052000000147.htm?pag=4&f=&geo=p&from=list&lo=55,1300,65,20.0,1,1,29
https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_amueblado_con_ascensor_parking_calefac_diagonal_mar_i_el_front_maritim_del_poblen-barcelona-i3050004446443.htm?pag=4&f=&geo=p&from=list&lo=55,2200,69,31.88,2,1,52
https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_amueblado_con_ascensor_calefaccion_y_ai_dreta_de_l_eixample-barcelona-i4630004472797.htm?pag=4&f=&geo=p&from=list&lo=55,2000,66,30.3,2,2,48
https://www.habitaclia.com/alquiler-piso-junto_sarria_multicines_tres_torres-barcelona-i3050004446460.htm?pag=5&f=&geo=p&from=list&lo=55,2900,198,14.65,4,2,43
https://www.habitaclia.com/alquiler-piso-de_150_m2_en_c_nau_santa_maria_av_diagonal_barri_de_les_corts-barcelona-i39012000001466.htm?pag=5&f=&geo=p&from=list&lo=55,2550,150,17.0,3,3,47
https://www.habitaclia.com/alquiler-piso-vivienda_con_balcon_patio_y_parking_horta-barcelona-i3118004333050.htm?pag=5&f=&geo=p&from=list&lo=55,1300,79,16.46,2,1,7
https://www.habitaclia.com/alquiler-piso-gotic-barcelona-i37282004165740.htm?pag=5&f=&geo=p&from=list&lo=55,1500,84,17.86,2,1,42
https://www.habitaclia.com/alquiler-piso-calle_de_bertran_41_putget_farro-barcelona-i5714000000654.htm?pag=5&f=&geo=p&from=list&lo=55,1400,60,23.33,1,1,26
https://www.habitaclia.com/alquiler-estudio-en_en_el_raval_3_habitaciones_1_bano_raval-barcelona-i14760003330342.htm?pag=5&f=&geo=p&from=list&lo=55,1400,120,11.67,3,1,37
https://www.habitaclia.com/alquiler-piso-con_4_habitaciones_con_ascensor_calle_de_craywinckel_27_putget_farro-barcelona-i2907000000339.htm?pag=5&f=&geo=p&from=list&lo=55,1650,106,15.57,4,2,26
https://www.habitaclia.com/alquiler-apartamento-con_2_habitaciones_amueblado_con_ascensor_y_aire_aco_barceloneta-barcelona-i30785000001946.htm?pag=5&f=&geo=p&from=list&lo=55,2700,85,31.76,2,2,31
https://www.habitaclia.com/alquiler-piso-poblenou-barcelona-i3846004386884.htm?pag=5&f=&geo=p&from=list&lo=55,1400,65,21.54,2,1,41
https://www.habitaclia.com/alquiler-apartamento-de_1_dormitorio_en_gracia_vila_de_gracia-barcelona-i31390000000265.htm?pag=5&f=&geo=p&from=list&lo=55,2105,50,42.1,1,1,44
https://www.habitaclia.com/alquiler-apartamento-3_dormitorios_en_gracia_el_camp_d_en_grassot_i_gracia_nova-barcelona-i31390000000416.htm?pag=5&f=&geo=p&from=list&lo=55,2115,80,26.44,3,2,38
https://www.habitaclia.com/alquiler-apartamento-impresionante_piso_muy_proximo_a_plaza_cataluna_raval-barcelona-i5714000000620.htm?pag=5&f=&geo=p&from=list&lo=55,3500,92,38.04,3,1,37
https://www.habitaclia.com/alquiler-piso-balmes_l_antiga_esquerra_de_l_eixample-barcelona-i5821002627229.htm?pag=5&f=&geo=p&from=list&lo=55,2150,120,17.92,4,2,40
https://www.habitaclia.com/alquiler-piso-general_mitre_sant_gervasi_galvany-barcelona-i5821002627233.htm?pag=5&f=&geo=p&from=list&lo=55,2650,148,17.91,4,2,49
https://www.habitaclia.com/alquiler-apartamento-en_les_corts_sant_ramon_maternitat-barcelona-i5020004000142.htm?pag=5&f=&geo=p&from=list&lo=55,850,33,25.76,1,1,29
https://www.habitaclia.com/alquiler-piso-cuatro_dormitorios_en_sant_antoni_sant_antoni-barcelona-i5020004000394.htm?pag=6&f=&geo=p&from=list&lo=55,1780,89,20.0,4,2,33
https://www.habitaclia.com/alquiler-apartamento-amueblado_con_calefaccion_y_aire_acondicionado_st_pere_sta_caterina_el_born-barcelona-i30785000002035.htm?pag=6&f=&geo=p&from=list&lo=55,1400,75,18.67,1,1,46
https://www.habitaclia.com/alquiler-loft-bonito_en_el_corazon_del_born_dels_ases_3_st_pere_sta_caterina_el_born-barcelona-i5299004351058.htm?pag=6&f=&geo=p&from=list&lo=55,1100,45,24.44,1,1,46
https://www.habitaclia.com/alquiler-piso-amueblado_dreta_de_l_eixample-barcelona-i5714000000623.htm?pag=6&f=&geo=p&from=list&lo=55,3350,99,33.84,3,1,48
https://www.habitaclia.com/alquiler-apartamento-con_2_habitaciones_con_piscina_y_aire_acondicionado_gotic-barcelona-i30785000001971.htm?pag=6&f=&geo=p&from=list&lo=55,3400,130,26.15,2,2,42
