url,title,city,neighborhood,price_per_month,m2,price_m2,bedrooms,bathrooms,year_of_construction,air_conditioner
https://www.habitaclia.com/alquiler-piso-con_3_habitaciones_amueblado_con_ascensor_calle_de_parcerisa_34_la_bordeta-barcelona-i40478000000240.htm?pag=1&f=&geo=p&from=list&lo=55,Alquiler piso en carrer de parcerisa 34 piso con 3 habitaciones amueblado con ascensor en Barcelona,Barcelona,La Bordeta,2360,76,31.05,3,2,-1,False
https://www.habitaclia.com/alquiler-piso-de_temporal_de_2_habitaciones_en_el_born_st_pere_sta_caterina_el_born-barcelona-i27758000001995.htm?pag=1&f=&geo=p&from=list&lo=55,Alquiler piso  de alquiler temporal de 2 habitaciones en el born en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1400,66,21.21,2,1,-1,False
https://www.habitaclia.com/alquiler-piso-moderno_de_en_barrio_el_born_de_st_pere_sta_caterina_el_born-barcelona-i27758000002150.htm?pag=1&f=&geo=p&from=list&lo=55,Alquiler piso moderno piso de alquiler en barrio el born en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1350,52,25.96,2,1,-1,False
https://www.habitaclia.com/alquiler-piso-en_de_dos_habitaciones_amueblado_en_villa_olimpica_la_vila_olimpica_del_poblenou-barcelona-i4737003817350.htm?pag=1&f=&geo=p&from=list&lo=55,Alquiler piso  en alquiler de dos habitaciones amueblado en villa olímpica en Barcelona,Barcelona,La Vila Olímpica del Poblenou,3050,144,21.18,2,2,1992,True
https://www.habitaclia.com/alquiler-piso-en_amueblada_y_a_estrenar_en_nou_barris_prosperitat-barcelona-i4737003818755.htm?pag=1&f=&geo=p&from=list&lo=55,Alquiler piso  en alquiler amueblada y a estrenar en nou barris en Barcelona,Barcelona,Prosperitat,1790,80,22.38,3,2,2020,True
https://www.habitaclia.com/alquiler-piso-en_amueblado_en_la_calle_craywinckel_sant_gervasi_bonanova-barcelona-i4737003817943.htm?pag=1&f=&geo=p&from=list&lo=55,Alquiler piso  en alquiler amueblado en la calle craywinckel en Barcelona,Barcelona,Sant Gervasi - Bonanova,1650,66,25,1,1,1948,True
https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_con_ascensor_calefaccion_y_aire_acondic_josep_torres_22_vila_de_gracia-barcelona-i12792003591078.htm?pag=1&f=&geo=p&from=list&lo=55,"Alquiler piso en josep torres 22 piso con 2 habitaciones con ascensor, calefacción y aire acondicionado en Barcelona",Barcelona,Vila de Gràcia,1390,55,25.27,2,1,-1,True
https://www.habitaclia.com/alquiler-piso-amueblado_con_ascensor_parking_calefaccion_y_aire_acondic_plaza_de_pau_vila_13b_st_pere_sta_caterina-barcelona-i46695000000063.htm?pag=1&f=&geo=p&from=list&lo=55,"Alquiler piso en plaça de pau vila 13b piso amueblado con ascensor, parking, calefacción y aire acondicionado en Barcelona",Barcelona,St. Pere - Sta. Caterina - El Born,2100,60,35,1,1,-1,True
https://www.habitaclia.com/alquiler-piso-en_amueblado_en_calle_viladomat_eixample_esquerra_la_nova_esquerra_de_l_eixample-barcelona-i4737003818262.htm?pag=1&f=&geo=p&from=list&lo=55,"Alquiler piso  en alquiler amueblado en calle viladomat, eixample esquerra en Barcelona",Barcelona,La Nova Esquerra de l´Eixample,2400,138,17.39,3,2,1976,True
https://www.habitaclia.com/alquiler-atico-fantastcio_con_terraza_en_en_vila_de_gracia_vila_de_gracia-barcelona-i28371003774076.htm?pag=1&f=&geo=p&from=list&lo=55,Alquiler ático fantastcio ático con terraza en alquiler en Vila de Gràcia en Barcelona,Barcelona,Vila de Gràcia,2600,81,32.1,2,1,2011,True
